Source Tissue Type,Target Destination Type,Source Order,Destination Order,Euclidean Distance,Distance Index
TE,ICM,1,60,120.2023606,0.247293053
TE,ICM,1,61,116.7790272,0.26872996
TE,ICM,1,62,139.6204274,0.125697158
TE,TE,1,63,124.7791156,0.218633423
TE,TE,2,0,83.65396482,0.476159036
TE,TE,2,1,82.34952516,0.484327435
TE,TE,2,2,0,1
TE,TE,2,3,85.05008947,0.467416506
TE,TE,2,4,127.9243245,0.198938131
TE,TE,2,5,44.08398268,0.723946187
TE,TE,2,6,133.2339975,0.165688969
TE,TE,2,7,74.06727654,0.53619086
TE,TE,2,8,51.60143241,0.676871931
TE,TE,2,9,98.86946884,0.38087958
TE,TE,2,10,117.8300636,0.262148373
TE,TE,2,11,55.52727097,0.652288338
TE,TE,2,12,72.39426814,0.546667235
TE,TE,2,13,102.2545954,0.359681924
TE,TE,2,14,125.8801831,0.21173854
TE,TE,2,15,118.6334282,0.257117705
TE,TE,2,16,72.92884305,0.543319728
TE,TE,2,17,92.49339685,0.42080653
TE,TE,2,18,94.94998608,0.405423373
TE,TE,2,19,144.4941497,0.095177918
TE,TE,2,20,136.7045347,0.143956472
TE,TE,2,21,153.1857992,0.040750826
TE,TE,2,22,92.94020857,0.418008596
TE,TE,2,23,150.8393805,0.055444095
TE,ICM,2,24,92.76434657,0.419109844
TE,TE,2,25,123.9403022,0.22388607
TE,ICM,2,26,137.632217,0.138147327
TE,TE,2,27,112.163959,0.297629508
TE,TE,2,28,130.1478298,0.185014545
TE,ICM,2,29,137.457139,0.139243665
TE,ICM,2,30,116.2206025,0.272226815
TE,TE,2,31,114.3869761,0.28370898
TE,TE,2,32,130.9777756,0.179817426
TE,TE,2,33,108.1716989,0.322629033
TE,ICM,2,34,127.554228,0.201255674
TE,ICM,2,35,117.6566412,0.263234344
TE,TE,2,36,150.7856376,0.055780633
TE,TE,2,37,85.22004122,0.466352269
TE,TE,2,38,132.0814371,0.1729063
TE,TE,2,39,142.1774177,0.109685289
TE,ICM,2,40,84.72061157,0.469479696
TE,TE,2,41,143.0060854,0.104496174
TE,TE,2,42,135.7421335,0.149983026
TE,ICM,2,43,150.2010856,0.059441097
TE,ICM,2,44,109.4377421,0.314701074
TE,TE,2,45,153.3413354,0.039776858
TE,ICM,2,46,149.4583892,0.06409186
TE,ICM,2,47,116.4637686,0.27070411
TE,ICM,2,48,125.7020188,0.212854204
TE,TE,2,49,74.95666502,0.530621511
TE,ICM,2,50,124.9471308,0.217581312
TE,ICM,2,51,111.8475267,0.299611007
TE,TE,2,52,120.8118948,0.243476151
TE,TE,2,53,153.1454811,0.041003298
TE,ICM,2,54,98.62683719,0.382398939
TE,TE,2,55,149.276902,0.065228333
TE,TE,2,56,79.17533917,0.504204181
TE,ICM,2,57,122.8546489,0.23068443
TE,TE,2,58,132.8146656,0.168314824
TE,ICM,2,59,101.8308291,0.362335548
TE,ICM,2,60,140.0689613,0.122888439
TE,ICM,2,61,142.3420661,0.108654261
TE,ICM,2,62,135.07504,0.154160364
TE,TE,2,63,156.5939699,0.019408867
TE,TE,3,0,40.30368123,0.747618427
TE,TE,3,1,108.0423138,0.323439242
TE,TE,3,2,85.05008947,0.467416506
TE,TE,3,3,0,1
TE,TE,3,4,105.8492081,0.337172466
TE,TE,3,5,113.9368046,0.286527953
TE,TE,3,6,77.49837542,0.514705325
TE,TE,3,7,36.94309998,0.76866238
TE,TE,3,8,76.85793966,0.518715732
TE,TE,3,9,135.3141434,0.152663099
TE,TE,3,10,125.407437,0.214698876
TE,TE,3,11,121.1322968,0.241469795
TE,TE,3,12,131.2881034,0.177874154
TE,TE,3,13,142.0280052,0.11062091
TE,TE,3,14,66.75187229,0.581999907
TE,TE,3,15,144.3587813,0.096025594
TE,TE,3,16,101.5151628,0.36431225
TE,TE,3,17,139.1101939,0.128892238
TE,TE,3,18,91.67410263,0.425936949
TE,TE,3,19,90.48577053,0.433378282
TE,TE,3,20,150.1249717,0.059917721
TE,TE,3,21,110.7958596,0.306196544
TE,TE,3,22,133.3037556,0.165252144
TE,TE,3,23,147.2790057,0.077739155
TE,ICM,3,24,117.300755,0.265462902
TE,TE,3,25,93.77113165,0.412805357
TE,ICM,3,26,128.2882308,0.19665935
TE,TE,3,27,144.6443344,0.094237461
TE,TE,3,28,152.9086814,0.042486137
TE,ICM,3,29,111.9261686,0.299118552
TE,ICM,3,30,133.5215018,0.163888618
TE,TE,3,31,113.5232546,0.289117602
TE,TE,3,32,119.9505385,0.248869963
TE,TE,3,33,140.30797,0.121391767
TE,ICM,3,34,119.4645342,0.251913321
TE,ICM,3,35,128.3163938,0.196482994
TE,TE,3,36,128.789589,0.193519846
TE,TE,3,37,135.0748087,0.154161812
TE,TE,3,38,134.0008302,0.160887064
TE,TE,3,39,146.8984378,0.08012227
TE,ICM,3,40,122.6615043,0.2318939
TE,TE,3,41,141.3766058,0.114699971
TE,TE,3,42,100.2560854,0.37219659
TE,ICM,3,43,124.6250473,0.219598198
TE,ICM,3,44,114.6703367,0.281934576
TE,TE,3,45,132.3809687,0.171030634
TE,ICM,3,46,133.2388285,0.165658717
TE,ICM,3,47,135.344521,0.152472875
TE,ICM,3,48,133.0819524,0.166641075
TE,TE,3,49,79.14643756,0.504385163
TE,ICM,3,50,133.0070575,0.167110067
TE,ICM,3,51,118.2575064,0.259471727
TE,TE,3,52,138.2761511,0.134115013
TE,TE,3,53,106.5894093,0.332537328
TE,ICM,3,54,124.947795,0.217577153
TE,TE,3,55,120.7643142,0.243774101
TE,TE,3,56,119.5482859,0.251388868
TE,ICM,3,57,126.5759582,0.207381598
TE,TE,3,58,63.20504943,0.604210104
TE,ICM,3,59,124.8047752,0.218472743
TE,ICM,3,60,146.1414434,0.084862568
TE,ICM,3,61,136.157764,0.147380349
TE,ICM,3,62,121.2768113,0.240564846
TE,TE,3,63,124.4153156,0.220911538
TE,TE,4,0,76.39058683,0.521642295
TE,TE,4,1,66.31380597,0.584743077
TE,TE,4,2,127.9243245,0.198938131
TE,TE,4,3,105.8492081,0.337172466
TE,TE,4,4,0,1
TE,TE,4,5,116.9710796,0.267527329
TE,TE,4,6,52.39531793,0.671900622
TE,TE,4,7,131.1024668,0.17903661
TE,TE,4,8,148.2837047,0.071447732
TE,TE,4,9,84.53452313,0.470644982
TE,TE,4,10,42.78721194,0.732066563
TE,TE,4,11,141.0279241,0.116883416
TE,TE,4,12,127.9581824,0.198726113
TE,TE,4,13,105.5819601,0.338845973
TE,TE,4,14,128.3317866,0.196386604
TE,TE,4,15,93.09645641,0.417030172
TE,TE,4,16,155.2017329,0.028127053
TE,TE,4,17,129.9213388,0.186432831
TE,TE,4,18,157.6913935,0.012536803
TE,TE,4,19,108.7729477,0.318864015
TE,TE,4,20,100.5993737,0.370046919
TE,TE,4,21,102.8214701,0.356132156
TE,TE,4,22,153.2303786,0.040471669
TE,TE,4,23,99.17783919,0.378948565
TE,ICM,4,24,146.3092462,0.083811787
TE,TE,4,25,145.3770715,0.089649063
TE,ICM,4,26,117.1264355,0.26655449
TE,TE,4,27,138.8693652,0.130400307
TE,TE,4,28,124.2831378,0.221739234
TE,ICM,4,29,111.1285675,0.304113128
TE,ICM,4,30,132.4739604,0.17044832
TE,TE,4,31,156.5998281,0.019372183
TE,TE,4,32,144.5879888,0.094590298
TE,TE,4,33,109.3469398,0.315269678
TE,ICM,4,34,99.51343754,0.376847049
TE,ICM,4,35,86.92635075,0.455667362
TE,TE,4,36,51.56487937,0.677100826
TE,TE,4,37,105.1921704,0.341286835
TE,TE,4,38,57.52078752,0.639804941
TE,TE,4,39,136.2864241,0.146574679
TE,ICM,4,40,131.5831693,0.176026452
TE,TE,4,41,74.79313885,0.531645511
TE,TE,4,42,131.4229409,0.177029802
TE,ICM,4,43,102.074653,0.360808723
TE,ICM,4,44,113.6493238,0.288328157
TE,TE,4,45,110.4358061,0.308451198
TE,ICM,4,46,81.91702453,0.487035753
TE,ICM,4,47,108.5379119,0.320335808
TE,ICM,4,48,121.1365315,0.241443277
TE,TE,4,49,67.4676146,0.57751793
TE,ICM,4,50,143.6301895,0.100588035
TE,ICM,4,51,142.7957622,0.105813217
TE,TE,4,52,71.01851976,0.555282168
TE,TE,4,53,77.04649125,0.517535023
TE,ICM,4,54,114.8564326,0.280769244
TE,TE,4,55,132.2489924,0.171857069
TE,TE,4,56,156.888519,0.017564402
TE,ICM,4,57,102.4654812,0.358361357
TE,TE,4,58,92.89697428,0.418279329
TE,ICM,4,59,137.5665248,0.138558692
TE,ICM,4,60,111.1790131,0.303797238
TE,ICM,4,61,96.13340513,0.398012805
TE,ICM,4,62,125.4844437,0.214216659
TE,TE,4,63,80.17411445,0.497949852
TE,TE,5,0,100.6248251,0.369887543
TE,TE,5,1,59.69787094,0.626172049
TE,TE,5,2,44.08398268,0.723946187
TE,TE,5,3,113.9368046,0.286527953
TE,TE,5,4,116.9710796,0.267527329
TE,TE,5,5,0,1
TE,TE,5,6,138.3961249,0.133363737
TE,TE,5,7,109.3780471,0.315074883
TE,TE,5,8,86.65624997,0.457358733
TE,TE,5,9,62.56005709,0.608249045
TE,TE,5,10,93.03134555,0.417437897
TE,TE,5,11,46.24450311,0.710417012
TE,TE,5,12,44.75194296,0.719763421
TE,TE,5,13,68.72544674,0.569641387
TE,TE,5,14,148.3474606,0.071048493
TE,TE,5,15,88.17374438,0.447856186
TE,TE,5,16,92.52177785,0.420628808
TE,TE,5,17,68.67507955,0.569956786
TE,TE,5,18,119.5458242,0.251404283
TE,TE,5,19,155.4895172,0.026324948
TE,TE,5,20,112.3505632,0.296460994
TE,TE,5,21,156.1594399,0.022129893
TE,TE,5,22,88.6021228,0.445173681
TE,TE,5,23,133.4095714,0.164589526
TE,ICM,5,24,96.66990297,0.394653257
TE,TE,5,25,142.2513489,0.109222332
TE,ICM,5,26,131.8899694,0.17410527
TE,TE,5,27,96.08365784,0.398324323
TE,TE,5,28,108.3102086,0.321761686
TE,ICM,5,29,138.5810747,0.132205582
TE,ICM,5,30,106.9268549,0.330424244
TE,TE,5,31,127.3225551,0.202706409
TE,TE,5,32,137.404156,0.139575445
TE,TE,5,33,81.13586854,0.49192735
TE,ICM,5,34,119.3408421,0.252687881
TE,ICM,5,35,97.22222329,0.391194628
TE,TE,5,36,136.7141148,0.143896481
TE,TE,5,37,46.70804581,0.707514309
TE,TE,5,38,108.5513067,0.32025193
TE,TE,5,39,132.5571935,0.169927114
TE,ICM,5,40,74.73977062,0.531979703
TE,TE,5,41,121.6635473,0.238143105
TE,TE,5,42,147.6523551,0.075401242
TE,ICM,5,43,145.8001399,0.08699981
TE,ICM,5,44,103.6961663,0.35065481
TE,TE,5,45,147.650525,0.075412702
TE,ICM,5,46,136.3627476,0.146096742
TE,ICM,5,47,96.88701538,0.3932937
TE,ICM,5,48,115.1250602,0.279087098
TE,TE,5,49,73.96823457,0.53681106
TE,ICM,5,50,122.5510054,0.232585844
TE,ICM,5,51,115.8447251,0.274580558
TE,TE,5,52,91.25163097,0.428582466
TE,TE,5,53,153.474524,0.038942831
TE,ICM,5,54,82.77706869,0.481650158
TE,TE,5,55,154.2179124,0.034287735
TE,TE,5,56,86.66163293,0.457325024
TE,ICM,5,57,109.7328623,0.312853031
TE,TE,5,58,148.2010719,0.071965178
TE,ICM,5,59,97.46821463,0.389654231
TE,ICM,5,60,122.5385545,0.232663812
TE,ICM,5,61,128.0409493,0.198207826
TE,ICM,5,62,135.0684542,0.154201604
TE,TE,5,63,149.9944766,0.060734882
TE,TE,6,0,64.26893402,0.597548061
TE,TE,6,1,101.9484408,0.361599063
TE,TE,6,2,133.2339975,0.165688969
TE,TE,6,3,77.49837542,0.514705325
TE,TE,6,4,52.39531793,0.671900622
TE,TE,6,5,138.3961249,0.133363737
TE,TE,6,6,0,1
TE,TE,6,7,106.316762,0.334244645
TE,TE,6,8,136.8438547,0.14308405
TE,TE,6,9,122.175761,0.234935624
TE,TE,6,10,89.99936513,0.436424152
TE,TE,6,11,152.3140506,0.046209714
TE,TE,6,12,147.3035903,0.077585206
TE,TE,6,13,134.1340869,0.160052611
TE,TE,6,14,88.59051271,0.445246383
TE,TE,6,15,123.1483985,0.22884497
TE,TE,6,16,146.5007894,0.082612344
TE,TE,6,17,147.2381422,0.077995042
TE,TE,6,18,137.4411674,0.139343679
TE,TE,6,19,70.92182737,0.555887656
TE,TE,6,20,122.1758144,0.234935289
TE,TE,6,21,76.03462873,0.523871304
TE,TE,6,22,156.7879312,0.018194282
TE,TE,6,23,110.4575329,0.308315146
TE,ICM,6,24,142.315495,0.108820649
